Question,1,2,3,4,5,6,7,8,9,10,,correct.selected
Seniors,0,0,0,1,0,1,0,1,1,0,,4
Seniors,1,0,0,1,0,1,0,1,0,0,,3
Seniors,0,0,0,1,0,1,1,1,0,0,,3
Seniors,1,0,0,0,1,1,1,0,0,0,,1
Seniors,1,1,0,1,1,1,0,0,0,0,,3
Seniors,0,0,0,1,0,1,0,1,0,0,,3
Seniors,1,1,0,0,1,1,0,1,0,1,,4
Seniors,1,0,0,1,0,1,0,1,0,1,,4
Seniors,0,0,0,1,1,1,1,1,1,1,,5
Seniors,0,0,0,1,0,1,0,1,1,0,,4
Seniors,0,0,0,0,0,1,0,1,0,0,,2
,,,,,,,,,,,,3.795
